Talk ID,public_url,speaker_name,headline,description,event,duration,language,published,tags
1,https://www.ted.com/talks/al_gore_on_averting_climate_crisis,Al Gore,Averting the climate crisis,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.",TED2006,0:16:17,en,6/27/06,"alternative energy,cars,global issues,climate change,environment,science,culture,sustainability,technology"
7,https://www.ted.com/talks/david_pogue_says_simplicity_sells,David Pogue,Simplicity sells,"New York Times columnist David Pogue takes aim at technology's worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.",TED2006,0:21:26,en,6/27/06,"simplicity,entertainment,interface design,software,media,computers,technology,music,performance"
53,https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal,Majora Carter,Greening the ghetto,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.",TED2006,0:18:36,en,6/27/06,"MacArthur grant,cities,green,activism,politics,pollution,environment,inequality,business"
66,https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity,Ken Robinson,Do schools kill creativity?,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,TED2006,0:19:24,en,6/27/06,"children,teaching,creativity,parenting,culture,dance,education"
92,https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen,Hans Rosling,The best stats you've ever seen,"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""",TED2006,0:19:50,en,6/27/06,"demo,Asia,global issues,visualizations,global development,statistics,math,health,economics,Google,Africa"
96,https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do,Tony Robbins,Why we do what we do,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",TED2006,0:21:45,en,6/27/06,"entertainment,goal-setting,potential,psychology,motivation,emotions,culture,business"
49,https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library,Joshua Prince-Ramus,Behind the design of Seattle's library,"Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.",TED2006,0:19:58,en,7/10/06,"library,architecture,design,culture,collaboration"
86,https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god,Julia Sweeney,Letting go of God,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""",TED2006,0:16:32,en,7/10/06,"atheism,Christianity,religion,God,comedy,humor,storytelling,culture,performance"
71,https://www.ted.com/talks/rick_warren_on_a_life_of_purpose,Rick Warren,A life of purpose,"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.",TED2006,0:21:02,en,7/18/06,"Christianity,philanthropy,religion,God,happiness,motivation,culture,leadership"
94,https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren,Dan Dennett,Let's teach religion -- all religion -- in schools,"Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution.",TED2006,0:24:45,en,7/18/06,"atheism,consciousness,evolution,philosophy,religion,God,cognitive science,brain"
54,https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture,Cameron Sinclair,My wish: A call for open-source architecture,"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.",TED2006,0:23:34,en,7/25/06,"disaster relief,open-source,philanthropy,global issues,architecture,activism,design,invention,culture,collaboration"
55,https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film,Jehane Noujaim,My wish: A global day of film,Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.,TED2006,0:25:38,en,7/25/06,"TED Prize,peace,entertainment,movies,global issues,film,storytelling,art,culture,social change"
58,https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics,Larry Brilliant,My wish: Help me stop pandemics,"Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread.",TED2006,0:25:50,en,7/25/06,"TED Prize,ebola,global issues,health,disease,science,technology,collaboration"
41,https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child,Nicholas Negroponte,One Laptop per Child,"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""",TED2006,0:17:37,en,8/1/06,"philanthropy,global issues,children,design,entrepreneur,technology,education,social change"
65,https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen,Jeff Han,The radical promise of the multi-touch interface,"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click.",TED2006,0:08:47,en,8/1/06,"demo,interface design,design,technology"
46,https://www.ted.com/talks/jennifer_lin_improvs_piano_magic,Jennifer Lin,"Improvising on piano, aged 14","Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.",TED2004,0:24:05,en,8/8/06,"wunderkind,entertainment,piano,creativity,music,performance"
45,https://www.ted.com/talks/sirena_huang_dazzles_on_violin,Sirena Huang,An 11-year-old's magical violin,"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.",TED2006,0:24:41,en,8/8/06,"violin,wunderkind,entertainment,youth,music,performance"
27,https://www.ted.com/talks/ross_lovegrove_shares_organic_designs,Ross Lovegrove,"Organic design, inspired by nature","Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair.",TED2005,0:19:30,en,8/15/06,"science and art,DNA,industrial design,nature,design,creativity,product design,biology,invention"
2,https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design,Amy Smith,Simple designs to save a life,Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,TED2006,0:15:06,en,8/15/06,"simplicity,MacArthur grant,alternative energy,industrial design,engineering,global issues,design,invention"
37,https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia,Jimmy Wales,The birth of Wikipedia,"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia.",TEDGlobal 2005,0:20:01,en,8/21/06,"wikipedia,open-source,media,invention,culture,business,technology,collaboration"
25,https://www.ted.com/talks/richard_baraniuk_on_open_source_learning,Richard Baraniuk,The birth of the open-source learning revolution,"In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world.",TED2006,0:18:34,en,8/21/06,"library,open-source,global issues,culture,business,technology,collaboration"
87,https://www.ted.com/talks/ze_frank_s_nerdcore_comedy,Ze Frank,Nerdcore comedy,"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.",TED2004,0:18:56,en,8/25/06,"demo,entertainment,software,comedy,humor,culture,collaboration,dance,performance,community"
21,https://www.ted.com/talks/mena_trott_tours_her_blog_world,Mena Trott,Meet the founder of the blog revolution,"The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world.",TED2006,0:16:46,en,8/25/06,"entertainment,software,storytelling,design,culture,business,communication,community"
64,https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul,Eve Ensler,Happiness in body and soul,"Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness.",TED2004,0:20:25,en,9/6/06,"theater,entertainment,gender,global issues,happiness,women,storytelling,culture,performance"
16,https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat,Helen Fisher,"Why we love, why we cheat","Anthropologist Helen Fisher takes on a tricky topic -- love -- and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse.",TED2006,0:23:27,en,9/6/06,"evolution,gender,psychology,love,relationships,cognitive science,science,culture"
47,https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos,David Deutsch,Chemical scum that dream of distant quasars,"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.",TEDGlobal 2005,0:19:00,en,9/12/06,"cosmos,physics,global issues,climate change,universe,environment,science,culture,technology"
98,https://www.ted.com/talks/richard_dawkins_on_our_queer_universe,Richard Dawkins,Why the universe seems so strange,"Biologist Richard Dawkins makes a case for ""thinking the improbable"" by looking at how the human frame of reference limits our understanding of the universe.",TEDGlobal 2005,0:21:56,en,9/12/06,"cosmos,evolution,physics,astronomy,psychology,biology,cognitive science,science"
20,https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce,Malcolm Gladwell,"Choice, happiness and spaghetti sauce","""Tipping Point"" author Malcolm Gladwell gets inside the food industry's pursuit of the perfect spaghetti sauce -- and makes a larger argument about the nature of choice and happiness.",TED2004,0:17:30,en,9/19/06,"marketing,consumerism,choice,media,storytelling,food,economics,culture,business"
29,https://www.ted.com/talks/steven_levitt_analyzes_crack_economics,Steven Levitt,The freakonomics of crack dealing,"""Freakonomics"" author Steven Levitt presents new data on the finances of drug dealing. Contrary to popular myth, he says, being a street-corner crack dealer isn't lucrative: It pays below minimum wage. And your boss can kill you.",TED2004,0:21:15,en,9/19/06,"narcotics,cities,economics,culture,business,race"
97,https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy,Dan Gilbert,The surprising science of happiness,"Dan Gilbert, author of ""Stumbling on Happiness,"" challenges the idea that we'll be miserable if we don't get what we want. Our ""psychological immune system"" lets us feel truly happy even when things don't go as planned.",TED2004,0:21:16,en,9/26/06,"evolution,choice,happiness,psychology,brain,science,culture"
93,https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice,Barry Schwartz,The paradox of choice,"Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.",TEDGlobal 2005,0:19:37,en,9/26/06,"choice,happiness,potential,psychology,economics,personal growth,decision-making,culture,business"
12,https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine,Eva Vertes,Meet the future of cancer research,Eva Vertes -- only 19 when she gave this talk -- discusses her journey toward studying medicine and her drive to understand the roots of cancer and Alzheimer's.,TED2005,0:18:49,en,10/2/06,"wunderkind,health,disease,cancer,science,technology"
39,https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging,Aubrey de Grey,A roadmap to end aging,"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.",TEDGlobal 2005,0:22:45,en,10/2/06,"biotech,engineering,aging,health care,disease,science,technology,future"
